date,asset,ticker,close
2020-04-02,D05_SI,D05.SI,11.900618553161621
2020-04-03,D05_SI,D05.SI,11.583873748779297
2020-04-06,D05_SI,D05.SI,11.894156455993652
2020-04-07,D05_SI,D05.SI,12.353111267089844
2020-04-08,D05_SI,D05.SI,12.17211627960205
2020-04-09,D05_SI,D05.SI,12.372506141662598
2020-04-13,D05_SI,D05.SI,12.463004112243652
2020-04-14,D05_SI,D05.SI,12.837930679321289
2020-04-15,D05_SI,D05.SI,12.605216026306152
2020-04-16,D05_SI,D05.SI,12.52764892578125
2020-04-17,D05_SI,D05.SI,12.463004112243652
2020-04-20,D05_SI,D05.SI,12.346649169921875
2020-04-21,D05_SI,D05.SI,12.178583145141602
2020-04-22,D05_SI,D05.SI,12.113936424255371
2020-04-23,D05_SI,D05.SI,12.113936424255371
2020-04-24,D05_SI,D05.SI,12.06868839263916
2020-04-27,D05_SI,D05.SI,12.28200626373291
2020-04-28,D05_SI,D05.SI,12.327258110046387
2020-04-29,D05_SI,D05.SI,12.41128921508789
2020-04-30,D05_SI,D05.SI,12.902573585510254
2020-05-04,D05_SI,D05.SI,12.65046501159668
2020-05-05,D05_SI,D05.SI,12.734501838684082
2020-05-06,D05_SI,D05.SI,12.760359764099121
2020-05-08,D05_SI,D05.SI,12.734501838684082
2020-05-11,D05_SI,D05.SI,12.928428649902344
2020-05-12,D05_SI,D05.SI,12.935113906860352
2020-05-13,D05_SI,D05.SI,12.888318061828613
2020-05-14,D05_SI,D05.SI,12.674406051635742
2020-05-15,D05_SI,D05.SI,12.701144218444824
2020-05-18,D05_SI,D05.SI,12.754621505737305
2020-05-19,D05_SI,D05.SI,13.108920097351074
2020-05-20,D05_SI,D05.SI,13.035384178161621
2020-05-21,D05_SI,D05.SI,13.00196361541748
2020-05-22,D05_SI,D05.SI,12.821468353271484
2020-05-26,D05_SI,D05.SI,12.995278358459473
2020-05-27,D05_SI,D05.SI,12.995278358459473
2020-05-28,D05_SI,D05.SI,13.128973007202148
2020-05-29,D05_SI,D05.SI,13.015331268310547
2020-06-01,D05_SI,D05.SI,13.142341613769531
2020-06-02,D05_SI,D05.SI,13.510007858276367
2020-06-03,D05_SI,D05.SI,14.572897911071777
2020-06-04,D05_SI,D05.SI,14.699907302856445
2020-06-05,D05_SI,D05.SI,14.893766403198242
2020-06-08,D05_SI,D05.SI,15.435235977172852
2020-06-09,D05_SI,D05.SI,15.341646194458008
2020-06-10,D05_SI,D05.SI,15.415181159973145
2020-06-11,D05_SI,D05.SI,14.806863784790039
2020-06-12,D05_SI,D05.SI,14.659796714782715
2020-06-15,D05_SI,D05.SI,14.238649368286133
2020-06-16,D05_SI,D05.SI,14.479305267333984
2020-06-17,D05_SI,D05.SI,14.419145584106445
2020-06-18,D05_SI,D05.SI,14.385722160339355
2020-06-19,D05_SI,D05.SI,14.145065307617188
2020-06-22,D05_SI,D05.SI,14.071531295776367
2020-06-23,D05_SI,D05.SI,14.125011444091797
2020-06-24,D05_SI,D05.SI,14.104958534240723
2020-06-25,D05_SI,D05.SI,13.830878257751465
2020-06-26,D05_SI,D05.SI,13.917781829833984
2020-06-29,D05_SI,D05.SI,13.717239379882812
2020-06-30,D05_SI,D05.SI,13.904412269592285
2020-07-01,D05_SI,D05.SI,14.071531295776367
2020-07-02,D05_SI,D05.SI,14.225282669067383
2020-07-03,D05_SI,D05.SI,14.419145584106445
2020-07-06,D05_SI,D05.SI,14.68653678894043
2020-07-07,D05_SI,D05.SI,14.485991477966309
2020-07-08,D05_SI,D05.SI,14.56620979309082
2020-07-09,D05_SI,D05.SI,14.472622871398926
2020-07-13,D05_SI,D05.SI,14.399088859558105
2020-07-14,D05_SI,D05.SI,14.358979225158691
2020-07-15,D05_SI,D05.SI,14.626371383666992
2020-07-16,D05_SI,D05.SI,14.439194679260254
2020-07-17,D05_SI,D05.SI,14.292131423950195
2020-07-20,D05_SI,D05.SI,14.231968879699707
2020-07-21,D05_SI,D05.SI,14.305500984191895
2020-07-22,D05_SI,D05.SI,14.091586112976074
2020-07-23,D05_SI,D05.SI,14.104958534240723
2020-07-24,D05_SI,D05.SI,13.797453880310059
2020-07-27,D05_SI,D05.SI,13.757345199584961
2020-07-28,D05_SI,D05.SI,13.703866004943848
2020-07-29,D05_SI,D05.SI,13.637016296386719
2020-07-30,D05_SI,D05.SI,13.215874671936035
2020-08-03,D05_SI,D05.SI,13.00196361541748
2020-08-04,D05_SI,D05.SI,13.162397384643555
2020-08-05,D05_SI,D05.SI,13.255987167358398
2020-08-06,D05_SI,D05.SI,13.637016296386719
2020-08-07,D05_SI,D05.SI,13.770712852478027
2020-08-11,D05_SI,D05.SI,13.937836647033691
2020-08-12,D05_SI,D05.SI,14.044794082641602
