Date,equal_weight_ml_net,equal_weight_buy_hold,inverse_vol_ml_net,inverse_vol_buy_hold
2025-06-24,0.006693053520243149,0.01565044170980312,0.00789202179282155,0.013742497131076543
2025-06-25,0.0024440879062039844,0.01689082321203535,0.0030062951608795575,0.012044112724256801
2025-06-26,0.0012626445821367627,0.002796326440568042,0.0012985784457650513,0.002259746567777667
2025-06-27,0.0029684973944106665,0.010828130714878833,0.003704558113517809,0.009645324839869934
2025-06-30,0.00037154968370289865,0.0024725048152910065,0.00045947427811964827,0.0025887966676373464
2025-07-01,0.0014844241520015622,-0.008518628306735295,0.0017861682312950143,-0.004584027059732682
2025-07-02,-0.0019212136852047774,0.00817869195169707,-0.0022915696228598026,0.004790311371657832
2025-07-03,0.0007432350238142741,0.007800664749383568,0.0010069001735053052,0.006341284711449514
2025-07-07,0.0033915678163719174,-0.0013935619512250863,0.004796337292849527,0.0009558167727078035
2025-07-08,0.00043793420557810175,0.003962765791022245,0.0005808562956705863,0.002344100711931915
