Ticker,Threshold,Strategy Total Return,Benchmark Total Return,Strategy Maximum Drawdown,Benchmark Maximum Drawdown,Strategy Sharpe Ratio,Benchmark Sharpe Ratio,Market Exposure,Average Predicted Probability,Train Period,Test Year
QQQ,0.5,-0.0288923635222309,0.5590949101604836,-0.13116981489420976,-0.10779931758232719,-0.31035786589459335,2.6046893396890853,0.18875502008032127,0.3797114568291712,2022,2023
QQQ,0.55,0.01348832703435665,0.5590949101604836,-0.10775737248450867,-0.10779931758232719,0.2106238676342114,2.6046893396890853,0.1566265060240964,0.3797114568291712,2022,2023
QQQ,0.6,0.09751661721348759,0.5590949101604836,-0.05017911706512712,-0.10779931758232719,1.3930327202184607,2.6046893396890853,0.13253012048192772,0.3797114568291712,2022,2023
SPY,0.4,0.255184294186783,0.26709240738697426,-0.09436579831389769,-0.09974337159465929,2.2131244380607527,1.8960394166901808,0.5983935742971888,0.46514551078635025,2022,2023
SPY,0.45,0.13095045657610327,0.26709240738697426,-0.08985638688286857,-0.09974337159465929,1.413165615388339,1.8960394166901808,0.4578313253012048,0.46514551078635025,2022,2023
SPY,0.5,0.12594658896440825,0.26709240738697426,-0.046239511697374724,-0.09974337159465929,1.5307714778413861,1.8960394166901808,0.3413654618473896,0.46514551078635025,2022,2023
SPY,0.55,0.051995839377445785,0.26709240738697426,-0.04436919653142868,-0.09974337159465929,0.8104042523177156,1.8960394166901808,0.23694779116465864,0.46514551078635025,2022,2023
SPY,0.6,0.07421982370170976,0.26709240738697426,-0.027427887323742683,-0.09974337159465929,1.2842425484388273,1.8960394166901808,0.19678714859437751,0.46514551078635025,2022,2023
D05_SI,0.4,0.3906465840886679,0.5008087268682735,-0.1365674146704512,-0.1466910673944113,2.3287961755373257,2.5120114841939225,0.6612244897959184,0.41778527023842654,2022-2023,2024
D05_SI,0.45,0.16076167361178162,0.5008087268682735,-0.11751750729152988,-0.1466910673944113,1.4587856728731619,2.5120114841939225,0.37142857142857144,0.41778527023842654,2022-2023,2024
D05_SI,0.5,0.08764058596091373,0.5008087268682735,-0.04102009905145276,-0.1466910673944113,1.6271177775916106,2.5120114841939225,0.12653061224489795,0.41778527023842654,2022-2023,2024
D05_SI,0.55,0.04223669571755839,0.5008087268682735,0.0,-0.1466910673944113,1.3708821983730122,2.5120114841939225,0.00816326530612245,0.41778527023842654,2022-2023,2024
D05_SI,0.6,0.0,0.5008087268682735,0.0,-0.1466910673944113,0.0,2.5120114841939225,0.0,0.41778527023842654,2022-2023,2024
MSFT,0.4,0.29293581030520643,0.18603507007101916,-0.13096552652198779,-0.15486780020271895,1.6210343214092364,0.9774883295994098,0.8816326530612245,0.4765536620890897,2022-2023,2024
MSFT,0.45,0.26394784330369836,0.18603507007101916,-0.09609791444287075,-0.15486780020271895,1.6142441141137656,0.9774883295994098,0.7510204081632653,0.4765536620890897,2022-2023,2024
MSFT,0.5,0.26468564414047724,0.18603507007101916,-0.053572035482202796,-0.15486780020271895,2.0702004943905954,0.9774883295994098,0.4,0.4765536620890897,2022-2023,2024
MSFT,0.55,0.04727943055477679,0.18603507007101916,-0.04181445393492822,-0.15486780020271895,0.7906309051058626,0.9774883295994098,0.11020408163265306,0.4765536620890897,2022-2023,2024
MSFT,0.6,0.007775139024547073,0.18603507007101916,0.0,-0.15486780020271895,1.0640374449747811,0.9774883295994098,0.00816326530612245,0.4765536620890897,2022-2023,2024
NVDA,0.4,1.7540540809742464,1.797255529869937,-0.2704675219646048,-0.2704675219646048,2.2357381075246896,2.2647485496168516,0.9877551020408163,0.5532783446282428,2022-2023,2024
NVDA,0.45,2.02579455464911,1.797255529869937,-0.25910895461025873,-0.2704675219646048,2.453726567227945,2.2647485496168516,0.9387755102040817,0.5532783446282428,2022-2023,2024
NVDA,0.5,1.2761645248961475,1.797255529869937,-0.2503364228031538,-0.2704675219646048,1.9991403063027362,2.2647485496168516,0.7714285714285715,0.5532783446282428,2022-2023,2024
NVDA,0.55,0.6236860348290791,1.797255529869937,-0.20574732776852378,-0.2704675219646048,1.3783988971652341,2.2647485496168516,0.5469387755102041,0.5532783446282428,2022-2023,2024
NVDA,0.6,-0.01979236881661528,1.797255529869937,-0.29135271957747777,-0.2704675219646048,0.09415824203546797,2.2647485496168516,0.2938775510204082,0.5532783446282428,2022-2023,2024
QQQ,0.4,0.3424192453164383,0.29387769509796735,-0.12404814211068049,-0.13557734543174893,1.920087644143492,1.5658488029610171,0.8122448979591836,0.45430225505212274,2022-2023,2024
QQQ,0.45,0.30243245283045006,0.29387769509796735,-0.11080399389215323,-0.13557734543174893,1.9841349067776022,1.5658488029610171,0.5673469387755102,0.45430225505212274,2022-2023,2024
QQQ,0.5,0.20600868094496683,0.29387769509796735,-0.07202404150143227,-0.13557734543174893,1.8066387423713017,1.5658488029610171,0.2897959183673469,0.45430225505212274,2022-2023,2024
QQQ,0.55,0.05660321157438064,0.29387769509796735,-0.05790827955214428,-0.13557734543174893,0.8988570860010461,1.5658488029610171,0.08571428571428572,0.45430225505212274,2022-2023,2024
QQQ,0.6,0.0,0.29387769509796735,0.0,-0.13557734543174893,0.0,1.5658488029610171,0.0,0.45430225505212274,2022-2023,2024
SPY,0.4,0.2969718900056959,0.2667573542456121,-0.06069232250515433,-0.084056115595735,2.770425534334068,2.0011125555394913,0.6122448979591837,0.4082111296759721,2022-2023,2024
SPY,0.45,0.16481291676093024,0.2667573542456121,-0.04137103829419986,-0.084056115595735,2.1310694904104936,2.0011125555394913,0.27755102040816326,0.4082111296759721,2022-2023,2024
SPY,0.5,-0.0017598115702612827,0.2667573542456121,-0.0291236453632302,-0.084056115595735,-0.013564319255643751,2.0011125555394913,0.08163265306122448,0.4082111296759721,2022-2023,2024
SPY,0.55,0.04300486669449377,0.2667573542456121,-0.009461597167509272,-0.084056115595735,1.4450271679840965,2.0011125555394913,0.036734693877551024,0.4082111296759721,2022-2023,2024
SPY,0.6,0.0,0.2667573542456121,0.0,-0.084056115595735,0.0,2.0011125555394913,0.0,0.4082111296759721,2022-2023,2024
