signal_date,effective_return_date,asset,ticker,portfolio_sleeve_weight,decision_price,predicted_probability,selected_threshold,selected_filter,validation_calmar,signal,previous_position,target_position,position_change,position_change_abs,side,daily_asset_return,gross_strategy_return,fixed_cost_bps,fixed_cost_return,fixed_cost_net_return,data_as_of_date,data_snapshot
2025-09-22,2025-09-23,SPY,SPY,0.3333333333333333,661.3607177734375,0.391898827553385,0.4,NO_FILTER,3.864395561716396,0,1.0,0.0,-1.0,1.0,SELL,0.004731049353107419,0.004731049353107419,10.0,0.001,0.0037310493531074193,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-09-24,2025-09-25,SPY,SPY,0.3333333333333333,655.6678466796875,0.4240687997767298,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,-0.0031816642308674092,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-10-28,2025-10-29,NVDA,NVDA,0.3333333333333333,200.77394104003903,0.5547473560161875,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,0.04981991068259184,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-10-29,2025-10-30,NVDA,NVDA,0.3333333333333333,206.7762756347656,0.5455288389749469,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.0298959843276152,0.0298959843276152,10.0,0.001,0.0288959843276152,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-12-01,2025-12-02,NVDA,NVDA,0.3333333333333333,179.69082641601562,0.5628997393650101,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,0.016497230579703537,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-12-02,2025-12-03,NVDA,NVDA,0.3333333333333333,181.22886657714844,0.5492309174398535,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.008559369400260808,0.008559369400260808,10.0,0.001,0.007559369400260808,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-12-03,2025-12-04,NVDA,NVDA,0.3333333333333333,179.36123657226562,0.5596594951878039,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.010305367131387855,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-12-04,2025-12-05,NVDA,NVDA,0.3333333333333333,183.15660095214844,0.5315964832736993,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.02116044945059037,0.02116044945059037,10.0,0.001,0.020160449450590368,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-02-05,2026-02-06,NVDA,NVDA,0.3333333333333333,171.67062377929688,0.5657657212587136,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.013261403233346236,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-02-06,2026-02-09,NVDA,NVDA,0.3333333333333333,185.18414306640625,0.4745634408322266,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.07871771529462501,0.07871771529462501,10.0,0.001,0.07771771529462501,2026-07-13,final_model_bridge_prices_2026-07-06.csv
