Date,all_assets_ml_net,all_assets_buy_hold,robust_assets_ml_net,robust_assets_buy_hold
2025-02-20,0.0003997807162253064,0.0008149802237166215,-0.0010972443351264054,0.0010095888785457419
2025-02-21,-0.0048835717536900745,-0.0171424715975238,-0.001795096346215182,-0.015308339959721992
2025-02-24,-0.010505218818290163,-0.012666058778180767,-0.014070907555621829,-0.013737574222288496
2025-02-25,-0.008754800540009166,-0.011274657465351768,-0.009558368199029407,-0.009558368199029407
2025-02-26,0.0013364197572511174,0.009363777691445163,0.0006942983021909583,0.013268013583415414
2025-02-27,-0.007051973574879744,-0.029562358765124162,-0.005749214635370222,-0.03400941169419969
2025-02-28,-0.0009741334404854472,0.013445368700059634,-0.005410912604202863,0.013357730201867665
2025-03-03,-0.008552651798941824,-0.030116290110863853,-0.00711739299129636,-0.035762612784295565
2025-03-04,-0.001186963885321801,-0.0005737263817537696,-0.0020812133694695363,-5.321122385989104e-05
2025-03-05,0.006782216321568457,0.013797824304916873,0.0006588948643073689,0.0080062344647945
2025-03-06,-0.0005691948093681454,-0.021096194089251185,0.0024842444226685543,-0.02255763719242661
2025-03-07,-0.0017169637989111752,0.004709427578988734,0.00014511492652376687,0.008404602997161689
2025-03-10,-0.007252290679217755,-0.03046469049001934,-0.0009424291993727074,-0.02671098375797794
2025-03-11,-0.006913961295691084,-0.005726882498482721,-0.011777543882965777,-0.009002293557596
2025-03-12,0.0025224613577944587,0.018695094660814027,0.001733357989383751,0.02492748792145701
2025-03-13,-0.0025482069671884044,-0.010508314606849556,-0.0003333333333333333,-0.007603362694164654
2025-03-14,0.005649642806977551,0.025353037381480224,0.0008004759872349094,0.025582656487796267
2025-03-17,0.0005692828821006746,-0.00010939267228327054,0.0008286457843413864,-0.002463724732781373
2025-03-18,0.0003553966754910265,-0.012075999209813615,0.005034548047927985,-0.010001975959544662
2025-03-19,0.0029974708877162025,0.011473188465742768,0.001258412292989138,0.0109241734135328
2025-03-20,0.0003795686061103254,0.000842135426526669,0.0014749349463136034,0.003375726274968257
2025-03-21,0.001888688699469232,0.0012135531416573643,-0.0006607815485294433,-0.002884927211314651
2025-03-24,0.0017248444028426402,0.015999575530487496,0.0013241880942372515,0.017800617105369065
2025-03-25,0.003520396050858343,0.003956405598596957,0.004103490180964675,0.002928018875641536
2025-03-26,-0.0011501207356705567,-0.01870187739389857,0.002461077233788226,-0.020658313473925032
2025-03-27,0.0011319706473567504,-0.004635094477110857,0.0013652298300878367,-0.006347235905135269
2025-03-28,-0.006504362931054342,-0.0189565461870433,-0.0007871659336673442,-0.012764843523374036
2025-04-01,0.0020734597116493837,0.007516878434954788,-0.0025823263186255754,0.0038029923228882026
2025-04-02,-0.0003297563451403862,0.002885852532743072,-0.0005060242370474125,0.002420524456939188
2025-04-03,-0.00698494342244933,-0.043160912823335805,-0.003764834154458274,-0.046213627682845905
