signal_date,effective_return_date,asset,ticker,portfolio_sleeve_weight,decision_price,predicted_probability,selected_threshold,selected_filter,validation_calmar,signal,previous_position,target_position,position_change,position_change_abs,side,daily_asset_return,gross_strategy_return,fixed_cost_bps,fixed_cost_return,fixed_cost_net_return,data_as_of_date,data_snapshot
2026-03-26,2026-03-27,D05_SI,D05.SI,0.3333333333333333,55.53758239746094,0.49054406530083516,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.0010492560245081162,-0.0010492560245081162,10.0,0.0,-0.0010492560245081162,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-26,2026-03-27,NVDA,NVDA,0.3333333333333333,171.04066467285156,0.534938583994642,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,-0.04163858095780393,-0.0,10.0,0.0,-0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-26,2026-03-27,SPY,SPY,0.3333333333333333,643.432373046875,0.5799026183615993,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,-0.017858729983344035,-0.017858729983344035,10.0,0.0,-0.017858729983344035,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-27,2026-03-30,D05_SI,D05.SI,0.3333333333333333,55.56675338745117,0.5021546952251041,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.0005252477463182359,0.0005252477463182359,10.0,0.0,0.0005252477463182359,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-27,2026-03-30,NVDA,NVDA,0.3333333333333333,167.32498168945312,0.559579715986455,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.021723974181843797,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-27,2026-03-30,SPY,SPY,0.3333333333333333,632.4606323242188,0.621998499848663,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,-0.01705189415742525,-0.01705189415742525,10.0,0.0,-0.01705189415742525,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-30,2026-03-31,D05_SI,D05.SI,0.3333333333333333,55.39173889160156,0.4771471261964848,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.0031496260835914835,-0.0031496260835914835,10.0,0.0,-0.0031496260835914835,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-30,2026-03-31,NVDA,NVDA,0.3333333333333333,164.97772216796875,0.5782546035336635,0.55,NO_FILTER,10.133806552797092,1,1.0,1.0,0.0,0.0,NONE,-0.014028147487508913,-0.014028147487508913,10.0,0.0,-0.014028147487508913,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-30,2026-03-31,SPY,SPY,0.3333333333333333,630.3460693359375,0.6263069054979925,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,-0.0033433906874337227,-0.0033433906874337227,10.0,0.0,-0.0033433906874337227,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-31,2026-04-01,D05_SI,D05.SI,0.3333333333333333,55.32368087768555,0.4766485971194919,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.001228667221464197,-0.001228667221464197,10.0,0.0,-0.001228667221464197,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-31,2026-04-01,NVDA,NVDA,0.3333333333333333,174.1969757080078,0.5362385146992391,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.05588180888236938,0.05588180888236938,10.0,0.001,0.054881808882369376,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-03-31,2026-04-01,SPY,SPY,0.3333333333333333,648.6688842773438,0.5326790902184573,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.029067865784757174,0.029067865784757174,10.0,0.0,0.029067865784757174,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-01,2026-04-02,D05_SI,D05.SI,0.3333333333333333,55.96539306640625,0.4906176165124113,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.0115992316227016,0.0115992316227016,10.0,0.0,0.0115992316227016,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-01,2026-04-02,NVDA,NVDA,0.3333333333333333,175.54541015625,0.5252524767499889,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.007740860269023653,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-01,2026-04-02,SPY,SPY,0.3333333333333333,653.5562744140625,0.5086680760927792,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.00753449141030349,0.00753449141030349,10.0,0.0,0.00753449141030349,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-02,2026-04-06,D05_SI,D05.SI,0.3333333333333333,55.95566940307617,0.4899699032831283,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.00017374421579674504,-0.00017374421579674504,10.0,0.0,-0.00017374421579674504,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-02,2026-04-06,NVDA,NVDA,0.3333333333333333,177.18348693847656,0.528488422298564,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.009331356375359201,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-02,2026-04-06,SPY,SPY,0.3333333333333333,654.144775390625,0.5009373229243337,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.0009004595313388819,0.0009004595313388819,10.0,0.0,0.0009004595313388819,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-06,2026-04-07,D05_SI,D05.SI,0.3333333333333333,56.03345489501953,0.4830613991439344,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.0013901270911984565,0.0013901270911984565,10.0,0.0,0.0013901270911984565,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-06,2026-04-07,NVDA,NVDA,0.3333333333333333,177.43319702148438,0.5192320132169737,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.0014093304479019242,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-06,2026-04-07,SPY,SPY,0.3333333333333333,657.23681640625,0.4988042412516822,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.004726845083763864,0.004726845083763864,10.0,0.0,0.004726845083763864,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-07,2026-04-08,D05_SI,D05.SI,0.3333333333333333,55.87788772583008,0.47635606994945284,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.0027763265620674993,-0.0027763265620674993,10.0,0.0,-0.0027763265620674993,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-07,2026-04-08,NVDA,NVDA,0.3333333333333333,177.89266967773438,0.5337885929778218,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.00258955293576979,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-07,2026-04-08,SPY,SPY,0.3333333333333333,657.5260009765625,0.4998140091114222,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.0004400005646272298,0.0004400005646272298,10.0,0.0,0.0004400005646272298,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-08,2026-04-09,D05_SI,D05.SI,0.3333333333333333,56.50904846191406,0.45923313094778545,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.011295357819909535,0.011295357819909535,10.0,0.0,0.011295357819909535,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-08,2026-04-09,NVDA,NVDA,0.3333333333333333,181.8680419921875,0.5185622513983934,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.0223470271240227,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-08,2026-04-09,SPY,SPY,0.3333333333333333,674.27294921875,0.5328181176692219,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.02546963651219092,0.02546963651219092,10.0,0.0,0.02546963651219092,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-09,2026-04-10,D05_SI,D05.SI,0.3333333333333333,56.410430908203125,0.46576968168148936,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.0017451639409111763,-0.0017451639409111763,10.0,0.0,-0.0017451639409111763,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-09,2026-04-10,NVDA,NVDA,0.3333333333333333,183.69590759277344,0.5211338958855706,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.010050504643715596,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-09,2026-04-10,SPY,SPY,0.3333333333333333,678.162841796875,0.5324856001291298,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.005769017699185586,0.005769017699185586,10.0,0.0,0.005769017699185586,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-10,2026-04-13,D05_SI,D05.SI,0.3333333333333333,56.55835723876953,0.47215983272636586,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.0026223222936752055,0.0026223222936752055,10.0,0.0,0.0026223222936752055,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2026-04-10,2026-04-13,NVDA,NVDA,0.3333333333333333,188.4104156494141,0.5307213478851418,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.025664741901011867,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
