asset,ticker,train_period,test_period,threshold,accuracy_at_050,precision_at_050,recall_at_050,market_exposure,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_volatility,benchmark_volatility,strategy_mdd,benchmark_mdd
NVDA,NVDA,2022-2024,2025-2026,0.4,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.9839142091152815,0.1806458978705905,0.4904724931850586,-0.3098265953144681,0.4744188944053234,0.8155952564574709,0.45362801132996206,0.4612536391979802,-0.4651575593074563,-0.36881026403302364
NVDA,NVDA,2022-2024,2025-2026,0.45,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.8927613941018767,0.04437055247713628,0.4904724931850586,-0.4461019407079223,0.28345215408256597,0.8155952564574709,0.42957600988320854,0.4612536391979802,-0.4121114889531866,-0.36881026403302364
NVDA,NVDA,2022-2024,2025-2026,0.5,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.5978552278820375,0.2963268581055918,0.4904724931850586,-0.1941456350794668,0.656494689443531,0.8155952564574709,0.37296281758652416,0.4612536391979802,-0.33277676771551623,-0.36881026403302364
NVDA,NVDA,2022-2024,2025-2026,0.55,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.3163538873994638,0.5468733376081685,0.4904724931850586,0.056400844423109886,1.2356787633597397,0.8155952564574709,0.26593473580170296,0.4612536391979802,-0.1007168098790776,-0.36881026403302364
NVDA,NVDA,2022-2024,2025-2026,0.6,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.13941018766756033,0.10967901278954062,0.4904724931850586,-0.38079348039551797,0.5010110512058223,0.8155952564574709,0.16794911140664837,0.4612536391979802,-0.08250770528530171,-0.36881026403302364
QQQ,QQQ,2022-2024,2025-2026,0.4,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.7774798927613941,0.24323307624538715,0.4511714473330255,-0.20793837108763835,0.7968270755248806,1.2158196947708488,0.2126732490180069,0.22821177864165862,-0.24279063625813746,-0.2276829964487821
QQQ,QQQ,2022-2024,2025-2026,0.45,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.7372654155495979,0.2225533268615485,0.4511714473330255,-0.228618120471477,0.7631301680445524,1.2158196947708488,0.20514850474820914,0.22821177864165862,-0.22116128964807524,-0.2276829964487821
QQQ,QQQ,2022-2024,2025-2026,0.5,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.646112600536193,0.19543935021905368,0.4511714473330255,-0.2557320971139718,0.7409363424928583,1.2158196947708488,0.18563616854187306,0.22821177864165862,-0.17583704839171888,-0.2276829964487821
QQQ,QQQ,2022-2024,2025-2026,0.55,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.40214477211796246,0.36199828363804376,0.4511714473330255,-0.08917316369498174,1.4879459717472951,1.2158196947708488,0.14738495923031722,0.22821177864165862,-0.05703827297015862,-0.2276829964487821
QQQ,QQQ,2022-2024,2025-2026,0.6,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.14745308310991956,0.10883231666367288,0.4511714473330255,-0.3423391306693526,0.6334853519283024,1.2158196947708488,0.12120801469176805,0.22821177864165862,-0.05624910558266305,-0.2276829964487821
SPY,SPY,2022-2024,2025-2026,0.4,0.40214477211796246,0.3153153153153153,0.49645390070921985,0.806970509383378,0.15446935898068226,0.295991234559428,-0.14152187557874574,0.6520298145251494,1.0674154706441885,0.1710174416393225,0.17899658616298553,-0.18755234489427297,-0.1875523448942732
SPY,SPY,2022-2024,2025-2026,0.45,0.40214477211796246,0.3153153153153153,0.49645390070921985,0.7158176943699732,0.14927976872021365,0.295991234559428,-0.14671146583921435,0.6421065329386467,1.0674154706441885,0.16815890396621716,0.17899658616298553,-0.18755234489427297,-0.1875523448942732
SPY,SPY,2022-2024,2025-2026,0.5,0.40214477211796246,0.3153153153153153,0.49645390070921985,0.5924932975871313,0.0884974238086702,0.295991234559428,-0.2074938107507578,0.43574091493135936,1.0674154706441885,0.16071658518831708,0.17899658616298553,-0.166454027700905,-0.1875523448942732
